,Sno,Title,URL,Img_URL,Summary
0,0,What Is ‘Covid Toe’? Maybe a Strange Sign of Coronavirus Infection,https://www.nytimes.com/2020/05/01/health/coronavirus-covid-toe.html,https://static01.nyt.com/images/2020/04/30/science/30VIRUS-COVIDTOE/30VIRUS-COVIDTOE-mediumThreeByTwo440.jpg,"Over the past few weeks, she has seen dozens.

“All of a sudden, we are inundated with toes,” said Dr.Fox, who practices at the University of California, San Francisco. “I’ve got clinics filled with people coming in with new toe lesions. And it’s not people who had chilblains before — they’ve never had anything like this.”"
1,1,Trump Moves to Replace Watchdog Who Identified Critical Medical Shortages,https://www.nytimes.com/2020/05/01/us/politics/trump-health-department-watchdog.html,https://static01.nyt.com/images/2020/05/01/multimedia/01dc-prexy1-promo/01dc-prexy1-mediumThreeByTwo440.jpg,"This is a difficult question, because a lot depends on how well the virus is contained. A better question might be: “How will we know when to reopen the country?” In an American Enterprise Institute report, Scott Gottlieb, Caitlin Rivers, Mark B. McClellan, Lauren Silvis and Crystal Watson staked out four goal posts for recovery: Hospitals in the state must be able to safely treat all patients requiring hospitalization, without resorting to crisis standards of care; the state needs to be able to at least test everyone who has symptoms; the state is able to conduct monitoring of confirmed cases and contacts; and there must be a sustained reduction in cases for at least 14 days."
2,2,Coronavirus Live Updates: States Rely on Residents’ Trust as Restrictions Are Loosened,https://www.nytimes.com/2020/05/02/us/coronavirus-updates.html,https://static01.nyt.com/images/2020/05/02/us/02virus-us-briefing-lead/02virus-us-briefing-lead-mediumThreeByTwo440-v2.jpg,"In places still under lockdown, the weekend is expected to bring new challenges.Protesters planned to gather Saturday afternoon in the capitals of Kentucky, Oregon and even Florida, whose Republican governor has already announced a relaxing of many of the state’s restrictions. The protests follow others this week in Illinois, California and Michigan."
3,3,"Virus Deaths in New York Increase Slightly, Cuomo Says: Live Updates",https://www.nytimes.com/2020/05/02/nyregion/coronavirus-new-york-update.html,https://static01.nyt.com/images/2020/05/02/nyregion/02nyvirus-briefingNEW2/02nyvirus-briefingNEW2-mediumThreeByTwo440-v2.jpg,"“We are trying to understand why that is,” he said. “Who are those 900?”

Mr. Cuomo, who had held daily briefings in the state capital for 62 straight days, sat next to M.T.A officials at the transportation hub and reiterated his plan to rid the nation’s largest transportation system of the highly contagious virus."
4,4,Investigate Tara Reade’s Allegations,https://www.nytimes.com/2020/05/01/opinion/biden-tara-reade.html,https://static01.nyt.com/images/2020/05/02/opinion/02bidenprint/merlin_169636221_e13b70a7-9142-42f2-992a-7a389725a6aa-mediumThreeByTwo440.jpg,"Biden said that if such a document existed, there would be a copy of it in the National Archives, which retains records from what was then the Office of Fair Employment Practices. Biden asked the secretary of the Senate to direct a more extensive search, also asking for “any and all other documents in the records that relate to the allegation.”He called on the archives “to identify any record of the complaint she alleges she filed and make available to the press any such document.” Later on Friday, after the National Archives said it did not have personnel documents, Mr.Reade says that she filed a formal harassment complaint with a congressional personnel office in 1993. (She says the report did not mention the assault.) Although she kept some of her employment records from that time, she says she does not have a copy of that complaint.Ms."
5,5,How Long Will a Vaccine Really Take?,https://www.nytimes.com/interactive/2020/04/30/opinion/coronavirus-covid-vaccine.html,https://static01.nyt.com/images/2020/04/29/us/coronavirus-covid-19-vaccine-timeline-promo-1588200256894/coronavirus-covid-19-vaccine-timeline-promo-1588200256894-mediumThreeByTwo440-v7.png,"We’ve never released a coronavirus vaccine for humans before.So Times Opinion asked vaccine experts how we could condense the timeline and get a vaccine in the next few months instead of years.The grim truth behind this rosy forecast is that a vaccine probably won’t arrive any time soon.A vaccine would be the ultimate weapon against the coronavirus and the best route back to normal life.Fortunately, we already have a head start on the first phase of vaccine development: research."
6,6,What the Proponents of ‘Natural’ Herd Immunity Don’t Say,https://www.nytimes.com/2020/05/01/opinion/coronavirus-herd-immunity.html,https://static01.nyt.com/images/2020/05/03/opinion/sunday/03Bergstrom/03Bergstrom-mediumThreeByTwo440.jpg,"Some countries are attempting strategies intended to “safely” build up population immunity to the coronavirus without a vaccine.Sweden, for instance, is asking older people and those with underlying health issues to self-quarantine but is keeping many schools, restaurants and bars open.Many commentators have suggested that this would also be a good policy for poorer countries like India. But given the fatality rate, there is no way to do this without huge numbers of casualties — and indeed, Sweden has already seen far more deaths than its neighbors."
7,7,The New Great Depression Is Coming. Will There Be a New New Deal?,https://www.nytimes.com/2020/05/02/opinion/sunday/coronavirus-new-deal-ubi.html,https://static01.nyt.com/images/2020/05/02/opinion/02goldberg3/02goldberg3-mediumThreeByTwo440.jpg,"The New Great Depression Is Coming.Will There Be a New New Deal?

After the coronavirus, political transformation may be inevitable."
8,8,"Fearing Political Peril, Republicans Edge Away From Trump on Pandemic Response",https://www.nytimes.com/2020/05/02/us/politics/coronavirus-trump-republicans.html,https://static01.nyt.com/images/2020/04/30/us/politics/00dc-moderates1/merlin_157759152_2fed06e2-677c-4f66-a212-a403bb3e4b07-mediumThreeByTwo440.jpg,"“It’s a tightrope,” he said of the challenge that Mr. Katko and his fellow moderates face. “You’ve got to be on that wire where you’re trying to stay in the middle, but I don’t think his middle position will alienate the true Republicans.”

Catie Edmondson reported from Washington, and Rebecca R. Ruiz from Skaneateles, New York."
9,9,Olympic Gymnast Recalls Emotional Abuse ‘So Twisted That I Thought It Couldn’t Be Real’,https://www.nytimes.com/2020/05/01/sports/maggie-haney-gymnastics-abuse.html,https://static01.nyt.com/images/2020/05/02/sports/01gymnastics-haney1-print/01gymnastics-haney-1-mediumThreeByTwo440.jpg,"Coach Maggie Haney, left, watching Laurie Hernandez during a training session in April 2016.On Wednesday, Haney was suspended for eight years by U.S.A. Gymnastics, in part because of behavior reported by Hernandez.

Charles Mostoller for The New York Times"
